DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,PK-12,FREE,REDUCED,NOT ELIGIBLE,FREE AND REDUCED,% FREE,% REDUCED,% FREE AND REDUCED
0070,WESTMINSTER 50,7860,SHERRELWOOD ELEMENTARY SCHOOL,281,196,21,64,217,69.75%,7.47%,77.22%
0070,WESTMINSTER 50,7952,SKYLINE VISTA ELEMENTARY SCHOOL,389,304,46,38,350,78.15%,11.83%,89.97%
0070,WESTMINSTER 50,8406,SUNSET RIDGE ELEMENTARY SCHOOL,373,260,29,84,289,69.71%,7.77%,77.48%
0070,WESTMINSTER 50,8798,TENNYSON KNOLLS ELEMENTARY SCHOOL,431,288,50,93,338,66.82%,11.60%,78.42%
0070,WESTMINSTER 50,9462,WESTMINSTER ELEMENTARY SCHOOL,202,146,21,35,167,72.28%,10.40%,82.67%
0070,WESTMINSTER 50,9466,WESTMINSTER HIGH SCHOOL,1909,1065,202,639,1267,55.79%,10.58%,66.37%
0070,WESTMINSTER 50,,DISTRICT TOTAL,9862,6326,1057,2425,7383,64.15%,10.72%,74.86%
0100,ALAMOSA RE-11J,0114,ORTEGA MIDDLE SCHOOL,459,230,73,156,303,50.11%,15.90%,66.01%
0100,ALAMOSA RE-11J,0118,ALAMOSA HIGH SCHOOL,599,272,65,261,337,45.41%,10.85%,56.26%
0100,ALAMOSA RE-11J,0119,ALAMOSA OPEN SCHOOL,40,24,2,14,26,60%,5%,65%
0100,ALAMOSA RE-11J,0944,BOYD ELEMENTARY SCHOOL,332,194,57,78,251,58.43%,17.17%,75.60%
0100,ALAMOSA RE-11J,2402,POLSTON ELEMENTARY SCHOOL,313,212,34,65,246,67.73%,10.86%,78.59%
0100,ALAMOSA RE-11J,2818,EVANS ELEMENTARY SCHOOL,303,195,32,75,227,64.36%,10.56%,74.92%
0100,ALAMOSA RE-11J,,DISTRICT TOTAL,2046,1127,263,649,1390,55.08%,12.85%,67.94%
0110,SANGRE DE CRISTO RE-22J,7626,SANGRE DE CRISTO ELEMENTARY SCHOOL,185,90,28,61,118,48.65%,15.14%,63.78%
0110,SANGRE DE CRISTO RE-22J,7630,SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,138,37,38,63,75,26.81%,27.54%,54.35%
0110,SANGRE DE CRISTO RE-22J,,DISTRICT TOTAL,323,127,66,124,193,39.32%,20.43%,59.75%
0120,ENGLEWOOD 1,0206,COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,470,159,18,293,177,33.83%,3.83%,37.66%
0120,ENGLEWOOD 1,1514,CHARLES HAY ELEMENTARY SCHOOL,272,108,17,147,125,39.71%,6.25%,45.96%
0120,ENGLEWOOD 1,1556,CHERRELYN ELEMENTARY SCHOOL,277,152,37,88,189,54.87%,13.36%,68.23%
0120,ENGLEWOOD 1,1652,CLAYTON ELEMENTARY SCHOOL,432,245,57,130,302,56.71%,13.19%,69.91%
0120,ENGLEWOOD 1,2746,ENGLEWOOD HIGH SCHOOL,649,233,47,365,280,35.90%,7.24%,43.14%
0120,ENGLEWOOD 1,2750,ENGLEWOOD LEADERSHIP ACADEMY,76,14,7,55,21,18.42%,9.21%,27.63%
0120,ENGLEWOOD 1,2752,ENGLEWOOD MIDDLE SCHOOL,479,220,48,209,268,45.93%,10.02%,55.95%
0120,ENGLEWOOD 1,5318,ENGLEWOOD EARLY CHILDHOOD EDUCATION CENTER AT MADDOX,217,122,14,45,136,56.22%,6.45%,62.67%
0120,ENGLEWOOD 1,9620,WM E BISHOP ELEMENTARY SCHOOL,252,175,34,43,209,69.44%,13.49%,82.94%
0120,ENGLEWOOD 1,,DISTRICT TOTAL,3124,1428,279,1375,1707,45.71%,8.93%,54.64%
0123,SHERIDAN 2,0138,ALICE TERRY ELEMENTARY SCHOOL,335,281,20,34,301,83.88%,5.97%,89.85%
0123,SHERIDAN 2,3054,FORT LOGAN ELEMENTARY SCHOOL,284,245,18,21,263,86.27%,6.34%,92.61%
0123,SHERIDAN 2,7837,SHERIDAN MIDDLE SCHOOL,342,263,29,50,292,76.90%,8.48%,85.38%
0123,SHERIDAN 2,7842,SHERIDAN HIGH SCHOOL,468,305,31,132,336,65.17%,6.62%,71.79%
0123,SHERIDAN 2,7843,EARLY CHILDHOOD EDUCATION CENTER,166,50,3,9,53,30.12%,1.81%,31.93%
0123,SHERIDAN 2,,DISTRICT TOTAL,1595,1144,101,246,1245,71.72%,6.33%,78.06%
0130,CHERRY CREEK 5,0000,NOT IN A SCHOOL,319,0,0,207,0,0%,0%,0%
0130,CHERRY CREEK 5,0016,FOX HOLLOW ELEMENTARY SCHOOL,823,49,24,732,73,5.95%,2.92%,8.87%
0130,CHERRY CREEK 5,0018,LIBERTY MIDDLE SCHOOL,969,103,61,805,164,10.63%,6.30%,16.92%
0130,CHERRY CREEK 5,0141,SKY VISTA MIDDLE SCHOOL,791,97,62,632,159,12.26%,7.84%,20.10%
0130,CHERRY CREEK 5,0242,ANTELOPE RIDGE ELEMENTARY SCHOOL,801,99,42,634,141,12.36%,5.24%,17.60%
0130,CHERRY CREEK 5,0243,COYOTE HILLS ELEMENTARY SCHOOL,690,20,9,661,29,2.90%,1.30%,4.20%
0130,CHERRY CREEK 5,0348,ARROWHEAD ELEMENTARY SCHOOL,640,150,70,420,220,23.44%,10.94%,34.38%
0130,CHERRY CREEK 5,0442,ASPEN CROSSING ELEMENTARY SCHOOL,532,42,33,437,75,7.89%,6.20%,14.10%
0130,CHERRY CREEK 5,0714,BELLEVIEW ELEMENTARY SCHOOL,609,38,17,554,55,6.24%,2.79%,9.03%
0130,CHERRY CREEK 5,1155,BUFFALO TRAIL ELEMENTARY SCHOOL,774,52,24,643,76,6.72%,3.10%,9.82%
0130,CHERRY CREEK 5,1273,CANYON CREEK ELEMENTARY SCHOOL,771,80,59,611,139,10.38%,7.65%,18.03%
0130,CHERRY CREEK 5,1510,CHALLENGE SCHOOL,538,9,10,519,19,1.67%,1.86%,3.53%
0130,CHERRY CREEK 5,1551,CHEROKEE TRAIL HIGH SCHOOL,2328,187,132,2008,319,8.03%,5.67%,13.70%
0130,CHERRY CREEK 5,1566,CAMPUS MIDDLE SCHOOL,1428,100,51,1277,151,7%,3.57%,10.57%
0130,CHERRY CREEK 5,1568,WEST MIDDLE SCHOOL,1139,103,39,997,142,9.04%,3.42%,12.47%
0130,CHERRY CREEK 5,1570,CHERRY CREEK HIGH SCHOOL,3501,186,75,3238,261,5.31%,2.14%,7.46%
0130,CHERRY CREEK 5,1571,CHERRY CREEK CHARTER ACADEMY,472,0,0,472,0,0%,0%,0%
0130,CHERRY CREEK 5,1572,HIGH PLAINS ELEMENTARY SCHOOL,545,87,26,432,113,15.96%,4.77%,20.73%
0130,CHERRY CREEK 5,1574,CHERRY HILLS VILLAGE ELEMENTARY SCHOOL,570,15,8,547,23,2.63%,1.40%,4.04%
0130,CHERRY CREEK 5,1614,CIMARRON ELEMENTARY SCHOOL,579,175,66,318,241,30.22%,11.40%,41.62%
0130,CHERRY CREEK 5,1916,COTTONWOOD CREEK ELEMENTARY SCHOOL,627,25,10,592,35,3.99%,1.59%,5.58%
0130,CHERRY CREEK 5,1970,CREEKSIDE ELEMENTARY SCHOOL,769,39,19,670,58,5.07%,2.47%,7.54%
0130,CHERRY CREEK 5,2094,DAKOTA VALLEY ELEMENTARY SCHOOL,871,96,59,699,155,11.02%,6.77%,17.80%
0130,CHERRY CREEK 5,2292,DRY CREEK ELEMENTARY SCHOOL,430,48,23,359,71,11.16%,5.35%,16.51%
0130,CHERRY CREEK 5,2357,EAGLECREST HIGH SCHOOL,2362,373,202,1787,575,15.79%,8.55%,24.34%
0130,CHERRY CREEK 5,2428,EASTRIDGE COMMUNITY ELEMENTARY SCHOOL,841,386,126,298,512,45.90%,14.98%,60.88%
0130,CHERRY CREEK 5,2897,FALCON CREEK MIDDLE SCHOOL,1095,149,53,893,202,13.61%,4.84%,18.45%
0130,CHERRY CREEK 5,3030,FOX RIDGE MIDDLE SCHOOL,735,47,40,648,87,6.39%,5.44%,11.84%
0130,CHERRY CREEK 5,3589,GRANDVIEW HIGH SCHOOL,2607,226,141,2240,367,8.67%,5.41%,14.08%
0130,CHERRY CREEK 5,3648,GREENWOOD ELEMENTARY SCHOOL,408,19,2,387,21,4.66%,0.49%,5.15%
0130,CHERRY CREEK 5,3926,HERITAGE ELEMENTARY SCHOOL,356,11,9,302,20,3.09%,2.53%,5.62%
0130,CHERRY CREEK 5,3988,HIGHLINE COMMUNITY ELEMENTARY SCHOOL,616,405,66,145,471,65.75%,10.71%,76.46%
0130,CHERRY CREEK 5,4062,HOLLY HILLS ELEMENTARY SCHOOL,569,344,65,160,409,60.46%,11.42%,71.88%
0130,CHERRY CREEK 5,4078,HOMESTEAD ELEMENTARY SCHOOL,519,23,11,485,34,4.43%,2.12%,6.55%
