DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,PK,K,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,TOTAL
0110,SANGRE DE CRISTO RE-22J,7630,SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,0,0,0,0,0,0,0,0,22,24,26,31,22,13,138
0110,SANGRE DE CRISTO RE-22J,,DISTRICT TOTAL,19,30,11,31,23,22,22,27,22,24,26,31,22,13,323
0120,ENGLEWOOD 1,0206,COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,113,134,124,99,470
0120,ENGLEWOOD 1,1514,CHARLES HAY ELEMENTARY SCHOOL,0,59,49,33,49,45,37,0,0,0,0,0,0,0,272
0120,ENGLEWOOD 1,1556,CHERRELYN ELEMENTARY SCHOOL,0,49,51,45,43,33,56,0,0,0,0,0,0,0,277
0120,ENGLEWOOD 1,1652,CLAYTON ELEMENTARY SCHOOL,0,82,75,62,65,88,60,0,0,0,0,0,0,0,432
0120,ENGLEWOOD 1,2746,ENGLEWOOD HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,161,156,174,158,649
0120,ENGLEWOOD 1,2750,ENGLEWOOD LEADERSHIP ACADEMY,0,0,0,0,0,0,0,28,23,14,11,0,0,0,76
0120,ENGLEWOOD 1,2752,ENGLEWOOD MIDDLE SCHOOL,0,0,0,0,0,0,0,167,155,157,0,0,0,0,479
0120,ENGLEWOOD 1,5318,ENGLEWOOD EARLY CHILDHOOD EDUCATION CENTER AT MADDOX,217,0,0,0,0,0,0,0,0,0,0,0,0,0,217
0120,ENGLEWOOD 1,9620,WM E BISHOP ELEMENTARY SCHOOL,0,42,53,47,34,35,41,0,0,0,0,0,0,0,252
0120,ENGLEWOOD 1,,DISTRICT TOTAL,217,232,228,187,191,201,194,195,178,171,285,290,298,257,3124
0123,SHERIDAN 2,0138,ALICE TERRY ELEMENTARY SCHOOL,0,116,110,109,0,0,0,0,0,0,0,0,0,0,335
0123,SHERIDAN 2,3054,FORT LOGAN ELEMENTARY SCHOOL,0,0,0,0,102,103,79,0,0,0,0,0,0,0,284
0123,SHERIDAN 2,7837,SHERIDAN MIDDLE SCHOOL,0,0,0,0,0,0,0,94,116,132,0,0,0,0,342
0123,SHERIDAN 2,7842,SHERIDAN HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,103,117,108,140,468
0123,SHERIDAN 2,7843,EARLY CHILDHOOD EDUCATION CENTER,166,0,0,0,0,0,0,0,0,0,0,0,0,0,166
0123,SHERIDAN 2,,DISTRICT TOTAL,166,116,110,109,102,103,79,94,116,132,103,117,108,140,1595
0130,CHERRY CREEK 5,0000,NOT IN A SCHOOL,294,0,0,0,0,0,0,0,2,4,5,3,7,4,319
0130,CHERRY CREEK 5,0016,FOX HOLLOW ELEMENTARY SCHOOL,32,133,138,150,127,126,117,0,0,0,0,0,0,0,823
0130,CHERRY CREEK 5,0018,LIBERTY MIDDLE SCHOOL,0,0,0,0,0,0,0,342,335,292,0,0,0,0,969
0130,CHERRY CREEK 5,0141,SKY VISTA MIDDLE SCHOOL,0,0,0,0,0,0,0,286,271,234,0,0,0,0,791
0130,CHERRY CREEK 5,0242,ANTELOPE RIDGE ELEMENTARY SCHOOL,37,131,125,121,139,139,109,0,0,0,0,0,0,0,801
0130,CHERRY CREEK 5,0243,COYOTE HILLS ELEMENTARY SCHOOL,0,120,120,123,96,126,105,0,0,0,0,0,0,0,690
0130,CHERRY CREEK 5,0348,ARROWHEAD ELEMENTARY SCHOOL,0,91,97,112,107,108,125,0,0,0,0,0,0,0,640
0130,CHERRY CREEK 5,0442,ASPEN CROSSING ELEMENTARY SCHOOL,33,91,97,83,76,83,69,0,0,0,0,0,0,0,532
0130,CHERRY CREEK 5,0714,BELLEVIEW ELEMENTARY SCHOOL,0,92,96,91,101,104,125,0,0,0,0,0,0,0,609
0130,CHERRY CREEK 5,1155,BUFFALO TRAIL ELEMENTARY SCHOOL,90,128,137,112,112,97,98,0,0,0,0,0,0,0,774
0130,CHERRY CREEK 5,1273,CANYON CREEK ELEMENTARY SCHOOL,33,129,135,128,126,114,106,0,0,0,0,0,0,0,771
